ip,asn,city,region,country,loc
8.139.51.134,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
103.140.80.122,"{'asn': 'AS9875', 'name': 'PT. Pasifik Satelit Nusantara', 'domain': 'psn.co.id', 'route': '103.140.80.0/23', 'type': 'isp'}",Temanggung,Central Java,ID,"-7.3192,110.1928"
210.16.191.172,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '210.16.190.0/23', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
111.206.134.162,"{'asn': 'AS4808', 'name': 'China Unicom Beijing Province Network', 'domain': 'chinaunicom.cn', 'route': '111.206.128.0/18', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
193.134.100.76,"{'asn': 'AS43754', 'name': 'Asiatech Data Transmission company', 'domain': 'asiatech.ir', 'route': '193.134.100.0/24', 'type': 'hosting'}",Shiraz,Fars,IR,"29.6103,52.5311"
112.192.23.50,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '112.192.0.0/14', 'type': 'isp'}",Chengdu,Sichuan,CN,"30.6667,104.0667"
58.30.230.182,"{'asn': 'AS17429', 'name': 'BEIJING GEHUA CATV NETWORK CO.LTD', 'domain': 'bgctv.com.cn', 'route': '58.30.192.0/18', 'type': 'business'}",Beijing,Beijing,CN,"39.9075,116.3972"
211.152.45.20,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '211.152.45.0/24', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
115.155.179.111,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '115.155.176.0/20', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
218.65.178.153,"{'asn': 'AS137693', 'name': 'CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning , Guangxi Province, P.R.China.', 'domain': '189.cn', 'route': '218.65.176.0/22', 'type': 'isp'}",Nanning,Guangxi,CN,"22.8167,108.3167"
176.97.56.12,"{'asn': 'AS197738', 'name': 'PP ""Zastava Plus""', 'domain': 'zastava.net.ua', 'route': '176.97.56.0/21', 'type': 'isp'}",Odesa,Odessa,UA,"46.4857,30.7438"
