Domain,Name Server,Provider,Count
dadepardazimobin.com,"alex.ns.cloudflare.com.,veda.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",2
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com.","CHINAENTERCOM,CHINAENTERCOM",5
telekom3.de,"ns1.telekom.net.,pns.dtag.de.","DTAG-SERVICE-DNS-SECONDARY,DTAG-BB1",1
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net.","UK-OPALNET-20000413,TTT-NEC-SLB,UK-OPALNET-20000413",1
polinpdg.ac.id,"giancarlo.ns.cloudflare.com.,leia.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
accelecom.net,"ns1-09.azure-dns.com.,ns2-09.azure-dns.net.,ns3-09.azure-dns.org.,ns4-09.azure-dns.info.","MSFT,MSFT,MSFT-SV3-TEST,MSFT",1
asiatech.ir,"ns1.asiatech.ir.,ns2.asiatech.ir.","IR-ASIATECH-NET,IR-ASIATECH-NET",1
telmex.com,"ns10.telmex.com.,ns11.telmex.com.,ns8.telmex.com.,ns9.telmex.com.","187.191.64.0 - 187.191.95.255,187.191.64.0 - 187.191.95.255,200.57.128.0 - 200.57.159.255,200.57.128.0 - 200.57.159.255",1
skbroadband.com,"ns.hananet.net.,ns2.hananet.net.","broadNnet-KR,broadNnet-KR",10
meo.pt,"coltrane.telepac.pt.,ns2.telepac.pt.,ns3.telepac.pt.,ns4.telepac.pt.","PT-TELEPAC-960515,TELEPAC-SERVICES,PT-TELEPAC-960515,TELEPAC-SERVICES",1
so-net.net.tw,"ns-cloud-e1.googledomains.com.,ns-cloud-e2.googledomains.com.,rns1.so-net.net.tw.,rns2.so-net.net.tw.","GOOGLE,GOOGLE,SONET-NET,SONET-NET",1
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",10
cogeco.com,"ns1.cgocable.net.,ns2.cgocable.net.,ns3.cgocable.ca.,ns4.cgocable.ca.","CGOC-RESERVED4,CGOC-RESERVED1,COQB-TR03,COQB-TR03",1
echosp.co.za,"ns.dns1.co.za.,ns.dns2.co.za.,ns.otherdns.com.,ns.otherdns.net.",NET-149-28-240-0-23,1
baidu.com,"dns.baidu.com.,ns2.baidu.com.,ns3.baidu.com.,ns4.baidu.com.,ns7.baidu.com.","UNICOM-HE,CHINANET-IDC-BJ,CMNET,CHINANET-GD,Baidu",1
linesystems.com,"ns1.buckeyecom.net.,ns2.buckeyecom.net.,ns3.buckeyecom.net.","BUCKEYE-CABLESYSTEM,BUCKEYE-CABLESYSTEM,AMAZON-IAD",1
opendns.com,"auth1.opendns.com.,auth2.opendns.com.,auth3.opendns.com.","OPENDNS-NET-2,OpenDNS-RIPE,OPENDNS-NET-2",1
respina.net,"ns01.respina.net.,ns02.respina.net.","IR-RSPN,IR-RSPN",2
swisscom.ch,"dns1.swisscom.com.,dns2.swisscom.com.,dns3.swisscom.com.","Swisscom-ITS,Swisscom-ITS,CH-SWISSCOM-ITS-193-222",1
patrikweb.net,"ns1.patrikweb.com.,ns2.patrikweb.com.","PATRIKWEB-PROVIDER,PatrikWeb-Backbone",1
sunrise.ch,"ns1.sunrise.ch.,ns2.sunrise.ch.,ns3.sunrise.ch.,ns4.sunrise.ch.","SUNRISE-DNS-NET,SUNRISE-DNS-NET,SUNRISE-DNS-NET,SUNRISE-DNS-NET",1
nitco.com,"ns1.netnitco.net.,ns2.netnitco.net.,ns3.netnitco.net.","NETNITCO,NETNITCO,NETNITCO",1
vee.com.tw,"ns1.emax.net.tw.,ns2.emax.net.tw.,ns3.emax.net.tw.","VEETIME-TW,VEETIME-TW,VEETIME-TW",1
bitel.de,"ns01.bitel.net.,ns02.bitel.net.,ns03.bitel.net.","BITel-Server-Network,BITel-Server-Network,STADTWERKE-BIELEFELD",1
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net.","JUMPSTART-4,COMCAST-18,COMCAST-18,COMCAST-18,COMCAST-18",1
fanavaidc.com,"ns1.fanavaidc.com.,ns2.fanavaidc.com.","IR-FIDC-20070828,IR-FIDC-20070828",1
homeplus.net.tw,"58.86.33.10.,58.86.34.10.,celtics.homeplus.net.tw.,celtics2.homeplus.net.tw.,clippers.homeplus.net.tw.,lakers.homeplus.net.tw.,lakers2.cns.net.tw.","The DNS query name does not exist: 58.86.33.10.,The DNS query name does not exist: 58.86.34.10.,HUANG-NET,IPv4 address 172.18.170.2 is already defined as Private-Use Networks via RFC 1918.,HUANG-NET,HUANG-NET,IPv4 address 172.18.170.4 is already defined as Private-Use Networks via RFC 1918.",1
transtelco.net,"ns00.transtelco.net.,ns01.transtelco.net.,ns02.transtelco.net.,ns03.transtelco.net.,ns04.transtelco.net.","TIGGEE,TIGGEE,TIGGEE,TIGGEE,TIGGEE",10
