Domain,Name Server,Provider,Count
zastava.net.ua,"nsa1.srv53.org.,nsa2.srv53.com.,nsa3.srv53.net.,nsb1.srv53.com.,nsb3.srv53.net.,nsb4.srv53.org.,nsc3.srv53.net.,nsc4.srv53.com.,nsc4.srv53.org.,nsd1.srv53.com.,nsd2.srv53.net.,nsd2.srv53.org.","OVH_73464624,OVH_73464624,OVH_73464624,INVEST-INTERNET-LTD,INVEST-INTERNET-LTD,INVEST-INTERNET-LTD,MIROHOST,MIROHOST,MIROHOST,US-INTERNET1-20090520,US-INTERNET1-20090520,US-INTERNET1-20090520",1
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn.","CSTNET-CN,CSTNET-CN",6
megacable.com.mx,"a1-223.akam.net.,a11-64.akam.net.,a16-65.akam.net.,a26-65.akam.net.,a4-64.akam.net.,a9-65.akam.net.","AKAMAI-PI-1,AKAMAI-PA,AKAMAI,AKAMAI,AKAMAI-ARIN-1,AKAMAI",1
vodafone.com.tr,"ns1.vodafone.com.tr.,ns2.vodafone.com.tr.,ns3.vodafone.com.tr.","VDF095,VDF097,TR-RTNET-981210",1
atrinnet.net,"ns5.padidar.net.,ns6.padidar.net.","IR-PADIDARTECHNOLOGY-20120727,IR-PADIDARTECHNOLOGY-20120727",1
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com.","NETVIGATOR,NETVIGATOR",5
cat.net.th,"ds.cat.net.th.,myna.cat.net.th.,teal.cat.net.th.","CAT-IDC2-Service,CAT-IDCnonthaburi-Service,CAT-IDC-Service",4
telepermit.co.nz,"ns1.outwide.cloud.,ns2.outwide.cloud.,ns3.outwide.cloud.,ns4.outwide.cloud.","AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-EC2,AMAZON-BYOIP",1
itglobal.com,"ns01.itglobal.com.,ns02.itglobal.com.,ns03.itglobal.com.,ns04.itglobal.com.","RU-ITGLOBAL,BY-ITGLOBAL,NL-ITGLOBAL,KZ-ITGLOBAL-1",1
windstream.com,"adelaide.ns.cloudflare.com.,viddy.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
alphavps.com,"anna.ns.cloudflare.com.,kip.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
biznetnetworks.com,"jktns1.biz.net.id.,jktns2.biz.net.id.,ns3.biz.net.id.,ns4.biz.net.id.","BIZNET-AP,BIZNET-AP,BIZNET-Global-Switch-BLOCK,BIZNET-CLOUD-COMPUTING-BLOCK",1
fly.io,"ns1.fly.io.,ns2.fly.io.,ns3.fly.io.,ns4.fly.io.,ns5.fly.io.,ns6.fly.io.","TIGGEE-USNYC-1,TIGGEE-EU-5,TIGGEE-AP,TIGGEE-USNYC-1,TIGGEE-EU-6,TIGGEE-AP",4
emirates.net.ae,"ns1.etisalatdomains.ae.,ns2.etisalatdomains.ae.,ns3.etisalatdomains.ae.,ns4.etisalatdomains.ae.","AE-EMIRNET-20120822,AE-EMIRNET-20120822,AE-EMIRNET-20120822,AE-EMIRNET-20120822",1
tci.ir,ns1.tci.ir.,IR-DCC-20101018,4
telmex.com,"ns10.telmex.com.,ns11.telmex.com.,ns8.telmex.com.,ns9.telmex.com.","187.191.64.0 - 187.191.95.255,187.191.64.0 - 187.191.95.255,200.57.128.0 - 200.57.159.255,200.57.128.0 - 200.57.159.255",4
online.com.kh,"dns1.online.com.kh.,dns2.online.com.kh.,dns3.online.com.kh.,dns4.online.com.kh.,dns5.online.com.kh.","Cogetel,Cogetel,Cogetel,Cogetel,Cogetel",1
verizonbusiness.com,"auth-ns1.verizonbusiness.com.,auth-ns2.verizonbusiness.com.,auth01.ns.uu.net.,auth200.ns.uu.net.,auth210.ns.uu.net.,auth50.ns.uu.net.,auth61.ns.uu.net.","MCI-CBLK,MCI-CBLK,NETBLK-UUNETCBLK4,UUNET-EURO-SERVER1,UUNET-EURO-SERVER1,NETBLK-UUNETCBLK4,NETBLK-UUNETCBLK4",1
nutanix.com,"ns-109.awsdns-13.com.,ns-1511.awsdns-60.org.,ns-1902.awsdns-45.co.uk.,ns-742.awsdns-28.net.","AMAZON-BYOIP,AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP",1
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org.","SSL-1134,SSL-1134,SSL-1134,SSL-1134,SECURITYSERVICES,SSL-1134,SSL-1134,SSL-1134",10
linzag-telekom.at,"a0.ns.lagis.at.,a1.ns.lagis.at.,a2.ns.lagis.at.,a3.ns.lagis.at.","LAGIS-SERVER-1,LAGIS-SERVER-1,LAGIS-SERVER-2,AT-LIWEST-DOCSIS",1
bredband2.com,"lee.ns.cloudflare.com.,olga.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",2
parsvds.net,"chloe.ns.cloudflare.com.,chris.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
omc.co.il,"ns.omc.co.il.,ns1.omc.co.il.,ns2.omc.co.il.","CloudWebManage,CLOUDWEBMANAGE-IL,CLOUDWEBMANAGE-EU",1
cdn77.com,"ns1.cdn77.com.,ns2.cdn77.com.","CDN77-ANYCAST,CDN77-ANYCAST",1
hetzner.de,"ns.second-ns.com.,ns1.your-server.de.,ns3.second-ns.de.","HETZNER-RZ-NBG-NET2,HETZNER-RZ-NBG-NET,HETZNER-PORTABLE-PI",2
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
hinet.net,"ans1.hinet.net.,ans2.hinet.net.,ans3.hinet.tw.","HINET-NET,HINET-NET,HINET-NET",1
hkbn.net,"a1-138.akam.net.,a11-66.akam.net.,a2-66.akam.net.,a24-67.akam.net.,a26-64.akam.net.,a5-66.akam.net.","AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,AKAMAI,AKAMAI-PA",1
bt.com,"DYDNS0.bt.com.,DYDNS1.bt.com.,EDDNS0.bt.com.,EDDNS1.bt.com.","BT-CORPORATE,BT-CORPORATE,BT-CORPORATE,BT-CORPORATE",2
algerietelecom.dz,"dns-1.djaweb.dz.,dns-2.djaweb.dz.,dns-3.djaweb.dz.,dns-4.djaweb.dz.,dns-5.djaweb.dz.,dns-6.djaweb.dz.","ORG-TA23-AFRINIC,ORG-TA23-AFRINIC,ORG-TA23-AFRINIC,ORG-TA23-AFRINIC",1
globe.com.ph,"dns1.globenet.com.ph.,g-net.globe.com.ph.,g-net1.globe.com.ph.,sec.globe.com.ph.","GLOBET-PH,GLOBET-PH,GLOBE-COMM,GLOBE-LDNS-PH",1
brilliantel.co.za,brilliantel.esvacloud.com.,UK-LIBRAESVA-20210715,1
eth-services.de,"cinco.eth-services.de.,cuatro.eth-services.de.,dos.eth-services.de.,tres.eth-services.de.,uno.eth-services.de.","de-ber-ionos-cloud-txl,DE-V6NODE,DE-SEITZ-PA4,DE-HARMONYSOLUTIONS-VM01,DE-ETH-SERVICES",1
ucloud.cn,"ns3.dnsv5.com.,ns4.dnsv5.com.","TencentCloud,CHINANET-GD",1
startelecom.ca,"ns-1411.awsdns-48.org.,ns-142.awsdns-17.com.,ns-1865.awsdns-41.co.uk.,ns-865.awsdns-44.net.","AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
bahnhof.se,"ns.bahnhof.net.,ns2.bahnhof.net.","INFRA-AW-BIAB,RID-0000020483",1
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir.","SBUN,SBUN",1
ctm.net,"ns3.macau.ctm.net.,vassun1.macau.ctm.net.,vassun2.macau.ctm.net.","CTM-MO,CTM-MO,CTM-MO",1
respina.net,"ns01.respina.net.,ns02.respina.net.","IR-RSPN,IR-RSPN",2
oracle.com,"a1-160.akam.net.,a11-66.akam.net.,a13-65.akam.net.,a18-67.akam.net.,ns1.p201.dns.oraclecloud.net.,ns2.p201.dns.oraclecloud.net.,ns3.p201.dns.oraclecloud.net.,ns4.p201.dns.oraclecloud.net.","AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,TZODNS-1,TZODNS-1,TZODNS-1,TZODNS-1",1
alestra.com.mx,"dns.alestra.net.mx.,mail1.alestra.net.mx.,mail2.alestra.net.mx.","201.163.0.0 - 201.163.255.255,201.163.0.0 - 201.163.255.255,201.163.0.0 - 201.163.255.255",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.","HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.252.16 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.250.16 with error code 403.",4
egate.net,"auth-iad.dns.egate.net.,ns2.dm.egate.net.","SEASTROM,EGAT",1
biglobe.co.jp,"ns02.mesh.ad.jp.,ns03.mesh.ad.jp.","NEC-MESH,NEC-MESH11",1
unram.ac.id,"eva.ns.cloudflare.com.,jay.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
gibir.net.tr,"hal.ns.cloudflare.com.,kiki.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
intersat.ae,"pdns03.domaincontrol.com.,pdns04.domaincontrol.com.","GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",1
claro.com.pe,"dns1.amx.com.pe.,dns2.amx.com.pe.","200.108.96.0 - 200.108.111.255,200.108.96.0 - 200.108.111.255",1
voxtelecom.co.za,"ns1.voxdns.co.za.,ns2.voxdns.co.za.",,1
hornet.pl,"ns1.hornet.pl.,ns2.hornet.pl.","HORNET-PL,HORNET-PL",1
gghnet.com,"cody.ns.cloudflare.com.,kay.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
orange.com,"dns1.comlaude-dns.com.,dns2.comlaude-dns.net.,dns3.comlaude-dns.co.uk.,dns4.comlaude-dns.eu.","NSONE-DNS,NSONE-DNS,NSONE-DNS,NSONE-DNS",1
cira.ca,"a1-229.akam.net.,a10-65.akam.net.,ns1.d-zone.ca.,ns2.d-zone.ca.","AKAMAI-PI-1,HTTP lookup failed for http://rdap.arin.net/registry/ip/96.7.50.65.,CIRA-SOI-V4,CIRA-SOI-V4",1
veesp.com,"fiona.ns.cloudflare.com.,jeremy.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
charter.com,"ns1.charter.com.,ns2.charter.com.,ns3.charter.com.,ns4.charter.com.","CHTR-HSA-1BLK,CHTR-HSA-1BLK,CHTR-HSA-2BLK,CHTR-HSA-2BLK",1
tda.dz,"ns1.tda.dz.,ns2.tda.dz.",,1
nrp.co,"ns1.nrp.co.,ns2.nrp.co.,ns3.nrp.co.","nrpcore,nrpcore2,nrpcore2",1
lguplus.co.kr,"ns.lguplus.co.kr.,nsdr.lguplus.co.kr.","BORANET-KR,BORANET-KR",1
superonline.net,"ns1.turkcell.com.tr.,ns2.turkcell.com.tr.","TR-TURKCELL-INTERNET,TR-TURKCELL-INTERNET",1
drc.gov.cn,"ns11.xincache.com.,ns12.xincache.com.","TencentCloud,TENCENT-CN",1
ewe.com,"ans0.ewetel.de.,ans1.ewetel.net.,ans2.ewetel.de.,ans3.ewetel.net.","EWETEL-ADNS0-NET,EWETEL-ADNS1-NET,SERVER-NET-2,EWETEL-ADNS3-NET",1
movistar.es,"dns1.movistar.es.,dns2.movistar.es.","RIMA,RIMA",1
people.com.cn,"ns1.people.cn.,ns2.people.cn.,ns3.people.cn.,ns4.people.cn.,ns5.people.cn.","PELPLE-DAILY,People-Daily-Online,PEOPLENET,People-Daily-Online,PELPLE-DAILY",1
