Domain,Name Server,Count
skyfiberinternet.com,"brett.ns.cloudflare.com.,grace.ns.cloudflare.com.",1
altice.com.do,"blanche.altice.com.do.,rouge.altice.com.do.",1
sonic.com,"a.auth-ns.sonic.net.,b.auth-ns.sonic.net.,c.auth-ns.sonic.net.,d.auth-ns.sonic.net.",1
fibrenoire.ca,"ns-1085.awsdns-07.org.,ns-1908.awsdns-46.co.uk.,ns-193.awsdns-24.com.,ns-675.awsdns-20.net.",1
hinet.net,"ans1.hinet.net.,ans2.hinet.net.,ans3.hinet.tw.",1
hargray.com,"ns1.cableone.net.,ns2.cableone.net.,ns3.cableone.net.,ns4.cableone.net.",1
verizonbusiness.com,"auth-ns1.verizonbusiness.com.,auth-ns2.verizonbusiness.com.,auth01.ns.uu.net.,auth200.ns.uu.net.,auth210.ns.uu.net.,auth50.ns.uu.net.,auth61.ns.uu.net.",1
gibir.net.tr,"hal.ns.cloudflare.com.,kiki.ns.cloudflare.com.",1
packet.com,"dns1.p01.nsone.net.,dns2.p01.nsone.net.,dns3.p01.nsone.net.,dns4.p01.nsone.net.",1
ishanitech.biz,"ns71.domaincontrol.com.,ns72.domaincontrol.com.",1
phonoscope.com,"ns1.phonoscope.com.,ns2.phonoscope.com.,ns3.phonoscope.com.",1
gigalinkhk.com,"ns1.hostingww.com.,ns2.hostingww.com.,ns3.hostingww.com.",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.",4
serverclick.com,"dns1.serverclick.com.,dns2.serverclick.com.,ns1.serverclick.com.,ns2.serverclick.com.",1
metrored.com.mx,"leia.metrored.mx.,luke.metrored.mx.",1
win.pe,"dalary.ns.cloudflare.com.,jonah.ns.cloudflare.com.",1
macrolan.co.za,"ns1.macrolan.co.za.,ns2.macrolan.co.za.,ns3.macrolan.co.za.",1
airtel.in,"aaadel.mantraonline.com.,dnsdel.mantraonline.com.",1
people.cn,"ns1.people.cn.,ns2.people.cn.,ns3.people.cn.,ns4.people.cn.,ns5.people.cn.",1
kinx.net,"6s.kinx.net.,bs.kinx.net.,fs.kinx.net.,ks.kinx.net.,ks2.kinx.net.,ns.kinx.net.",1
nour.net.sa,"ns1.nour.net.sa.,ns2.nour.net.sa.",1
nessus.at,"ns1.nessus.at.,ns2.nessus.at.,ns3.nessus.at.",1
spadana.net,"ns.spadana.net.,ns5.spadana.net.",1
fifacorp.co.id,"tani.ns.cloudflare.com.,tanner.ns.cloudflare.com.",1
