Domain,Name Server,Provider,Count
swisscom.ch,"dns1.swisscom.com.,dns2.swisscom.com.,dns3.swisscom.com.","Swisscom-ITS,Swisscom-ITS,CH-SWISSCOM-ITS-193-222",1
nn.gx.cn,"ns.lzptt.gx.cn.,ns.nn.gx.cn.","CHINANET-GX,CHINANET-GX",18
huaweicloud.com,"ns1.huaweicloud-dns.cn.,ns1.huaweicloud-dns.com.,ns1.huaweicloud-dns.net.,ns1.huaweicloud-dns.org.","HWCSNET,HWCSNET,Huawei-HK-CLOUDS,Huawei-ZA-CLOUDS",5
kamatera.com,"max.ns.cloudflare.com.,zoe.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
teleservice.net,"ns1.teleservice.net.,ns2.teleservice.net.","TELESERVICE-SE,TELESERVICE-SE",1
timeweb.ru,"ns1.timeweb.ru.,ns2.timeweb.ru.,ns3.timeweb.org.,ns4.timeweb.org.","TimeWeb-7,TimeWeb-3,RETN-RU,RU-RETNNET-SPB",1
avabarid.com,"ns01.avabarid.com.,ns02.avabarid.com.","FANAPTELECOM-NETWORK,FANAPTELECOM-NETWORK",5
smileserv.com,"ns1.kr.,ns2.kr.,ns8.kr.,ns9.kr.","SMILESERV-KR,SMILESERV-KR,SMILESERV-KR,SMILESERV-KR",1
ground.ir,"ns1.dimit.host.,ns2.dimit.host.","IR-WEBGOSTARAN5-20191125,IR-WEBGOSTARAN5-20191125",1
plateautel.com,"ns1.plateautel.net.,ns2.plateautel.net.","PLATEAU-INTERNET-NETWORK,PLATEAU-INTERNET-NETWORK",2
turk.net,"ns.turk.net.,ns.turknet.io.,ns.turknet.net.tr.","Turknet,MSFT,TR-TURKNET-990212",1
scn.com.cn,"dns1.cableplus.com.cn.,dns2.cableplus.com.cn.,dns3.cableplus.com.cn.,dns4.cableplus.com.cn.,dns5.cableplus.com.cn.,dns6.cableplus.com.cn.","COLNET,COLNET,COLNET,COLNET,COLNET,COLNET",1
webpass.net,"ns-cloud-d1.googledomains.com.,ns-cloud-d2.googledomains.com.,ns-cloud-d3.googledomains.com.,ns-cloud-d4.googledomains.com.","GOOGLE,GOOGLE,GOOGLE,GOOGLE",1
tele2.se,"pitea.dns.swip.net.,sunic.sunet.se.,ystad.dns.swip.net.","SE-SWIPNET,SUNET-BACKBONE,SE-SWIPNET",1
att.com,"a1-187.akam.net.,a11-65.akam.net.,a2-64.akam.net.,a22-67.akam.net.,a4-64.akam.net.,a5-66.akam.net.","AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI,AKAMAI-ARIN-1,AKAMAI-PA",1
ntt.com,"ns-os001.ocn.ad.jp.,pns.ocn.ad.jp.","OCN,HTTP lookup failed for http://whois.nic.ad.jp/cgi-bin/whois_gw?lang=%2Fe&key=203.139.160.19&submit=query.",5
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
cwpanama.net,"ns.cwpanama.net.,ns3.cwpanama.net.","201.225.225.0 - 201.225.225.255,201.224.0.0 - 201.224.255.255",1
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com.","NETVIGATOR,NETVIGATOR",4
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net.","UK-OPALNET-20000413,TTT-NEC-SLB,UK-OPALNET-20000413",1
tatatelebusiness.com,"ns-1250.awsdns-28.org.,ns-1772.awsdns-29.co.uk.,ns-184.awsdns-23.com.,ns-925.awsdns-51.net.","AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",2
mggsnet.com,"ns1.NODE3.ParmisWeb.Net.,ns2.NODE3.ParmisWeb.Net.","The DNS query name does not exist: ns1.NODE3.ParmisWeb.Net.,The DNS query name does not exist: ns2.NODE3.ParmisWeb.Net.",1
rasana.net,"ns1.rasana.net.,ns2.rasana.net.","SHTL-NET-INFRA,SHTL-DSL-THR",1
nova.gr,"nsath.forthnet.gr.,nsher.forthnet.gr.,nsthe.forthnet.gr.,teiresias.forthnet.gr.","FORTHNET,FORTHNET,FORTHNET,FORTHNET-SUBNETED-NOC",1
sky.com,"edns1.ultradns.biz.,edns1.ultradns.com.,edns1.ultradns.net.,edns1.ultradns.org.,ns0.isp.sky.com.,ns1.isp.sky.com.","SECURITYSERVICES,SECURITYSERVICES,SECURITYSERVICES,SECURITYSERVICES,SKY-BROADBAND,SKY-BROADBAND",1
herotel.com,"jim.ns.cloudflare.com.,val.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
entel.cl,"ns-1484.awsdns-57.org.,ns-1562.awsdns-03.co.uk.,ns-463.awsdns-57.com.,ns-678.awsdns-20.net.","AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
shaw.ca,"a1-220.akam.net.,a3-64.akam.net.,a6-65.akam.net.,a8-66.akam.net.,a9-67.akam.net.,ns7nocg.shawcable.net.,ns8socg.shawcable.net.,ns9htok.shawcable.net.","AKAMAI-PI-1,AKAMAI-200703,AKAMAI,AKAMAI-PA,AKAMAI,SHAW-COMM,SHAW-COMM,SHAW-COMM",1
pldt.com,"iserv01.pldt.com.ph.,iserv02.pldt.com.ph.","I-GATE,Smart-IT",1
totalplay.com.mx,"ns3.totalplay.com.mx.,ns4.totalplay.com.mx.,ns5.totalplay.com.mx.","187.190.0.0 - 187.190.255.255,187.190.0.0 - 187.190.255.255,187.190.0.0 - 187.190.255.255",1
jio.com,"ns1.jio.com.,ns2.jio.com.,ns3.jio.com.,ns4.jio.com.,ns5.jio.com.,ns6.jio.com.","RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN",1
afranet.com,"ns.afranet.com.,ns1.afranet.com.,ns2.afranet.com.,ns3.afranet.com.,ns4.afranet.com.","Tech-com,Tech-com,IR-AFRANET-20071221,IR-ASIATECH-DC,HostiranNetwork",1
appliwave.com,"ns-1-b.gandi.net.,ns-33-c.gandi.net.,ns-41-a.gandi.net.","GANDI-NET11,FR-GANDI-20030731,GANDI-NET-IP4-NA",1
